team_id,team_name,team_norm,tournament_id,tournament_year,fifa_rank_pre_tournament,fifa_points_pre_tournament,fifa_previous_points_pre_tournament,fifa_diff_points_pre_tournament,fifa_ranking_date,team_tournament_id
team_f48861ca24e2,England,england,wc_1986,1986,,,,,,team_tournament_e9e93f6a4c40
team_73fa01094ea6,Belgium,belgium,wc_1986,1986,,,,,,team_tournament_7d3daa641604
team_4edfc924721a,Mexico,mexico,wc_1986,1986,,,,,,team_tournament_e74b0d20355f
team_49f4fdc64da0,Algeria,algeria,wc_1986,1986,,,,,,team_tournament_75c9d53a434e
team_35380523e7c0,Northern Ireland,northern ireland,wc_1986,1986,,,,,,team_tournament_fa924ae48f87
team_b0ce0b49f97d,Scotland,scotland,wc_1986,1986,,,,,,team_tournament_24dce399a98d
team_e9375700acbb,Denmark,denmark,wc_1986,1986,,,,,,team_tournament_1d1e3af7f2f3
team_9142ac5b229c,Uruguay,uruguay,wc_1986,1986,,,,,,team_tournament_d0b498a97a81
team_79efb284d3e2,West Germany,west germany,wc_1986,1986,,,,,,team_tournament_dbd38162d21e
team_3bafbfd8bf5e,Paraguay,paraguay,wc_1986,1986,,,,,,team_tournament_f8e0aa192651
team_d3b1cee2327c,Iraq,iraq,wc_1986,1986,,,,,,team_tournament_83fbe4186dbe
team_2a52adc7b1da,Argentina,argentina,wc_1990,1990,,,,,,team_tournament_5aa6e1b1abf0
team_9621cbb93d1b,Cameroon,cameroon,wc_1990,1990,,,,,,team_tournament_4b536d18253c
team_8882cbb50c41,United Arab Emirates,united arab emirates,wc_1990,1990,,,,,,team_tournament_03fb49ac43ea
team_25446782e2cc,Colombia,colombia,wc_1990,1990,,,,,,team_tournament_720d8ea548b2
team_e762c470514b,Soviet Union,soviet union,wc_1990,1990,,,,,,team_tournament_1e0f7efdadde
team_89055f975d7d,Romania,romania,wc_1990,1990,,,,,,team_tournament_8e6587db64bd
team_bab4ac375ada,Italy,italy,wc_1990,1990,,,,,,team_tournament_9eac7fac4314
team_6cd0c266688a,Austria,austria,wc_1990,1990,,,,,,team_tournament_3b6a370983a9
team_152649df347e,United States,united states,wc_1990,1990,,,,,,team_tournament_ce3fb7309aa4
team_43c05d43f993,Czechoslovakia,czechoslovakia,wc_1990,1990,,,,,,team_tournament_8d253b717144
team_6e5fa4d9c48c,Brazil,brazil,wc_1990,1990,,,,,,team_tournament_62cec2cc0c2c
team_88e52ee42fd0,Sweden,sweden,wc_1990,1990,,,,,,team_tournament_9fdcdea9d29f
team_79efb284d3e2,West Germany,west germany,wc_1990,1990,,,,,,team_tournament_5e2c7aa590e0
team_950ebd5e5210,Yugoslavia,yugoslavia,wc_1990,1990,,,,,,team_tournament_05dcf955fa04
team_53bcde0ca059,Costa Rica,costa rica,wc_1990,1990,,,,,,team_tournament_e968a35bffb6
team_b0ce0b49f97d,Scotland,scotland,wc_1990,1990,,,,,,team_tournament_4c68b2e617c8
team_f48861ca24e2,England,england,wc_1990,1990,,,,,,team_tournament_4f66218872b8
team_a66f852274a4,Republic of Ireland,ireland,wc_1990,1990,,,,,,team_tournament_681c017469a7
team_6123486432d2,Netherlands,netherlands,wc_1990,1990,,,,,,team_tournament_bb9bbffc1980
team_4635c9536a61,Egypt,egypt,wc_1990,1990,,,,,,team_tournament_a4d50b67ee62
team_73fa01094ea6,Belgium,belgium,wc_1990,1990,,,,,,team_tournament_b72407ebef15
team_3c6cfbc2415a,Korea Republic,south korea,wc_1990,1990,,,,,,team_tournament_e1bcf20acbc5
team_9142ac5b229c,Uruguay,uruguay,wc_1990,1990,,,,,,team_tournament_c9ba6d38d25c
team_1747d4b2dd4b,Spain,spain,wc_1990,1990,,,,,,team_tournament_c45d590b8bc9
team_28ef36b35ae8,Germany,germany,wc_1994,1994,3.0,61.0,60.0,1.0,1994-06-30,team_tournament_e0c74d12b3e3
team_76781be1c79d,Bolivia,bolivia,wc_1994,1994,40.0,36.0,35.0,1.0,1994-06-30,team_tournament_413c30d225a5
team_1747d4b2dd4b,Spain,spain,wc_1994,1994,6.0,60.0,56.0,4.0,1994-06-30,team_tournament_0efe0b861d0b
team_3c6cfbc2415a,Korea Republic,south korea,wc_1994,1994,35.0,39.0,38.0,1.0,1994-06-30,team_tournament_d69549b25b18
team_25446782e2cc,Colombia,colombia,wc_1994,1994,14.0,53.0,51.0,2.0,1994-06-30,team_tournament_c7c5e256b148
team_89055f975d7d,Romania,romania,wc_1994,1994,7.0,58.0,55.0,3.0,1994-06-30,team_tournament_f143a0f7ff91
team_bab4ac375ada,Italy,italy,wc_1994,1994,2.0,63.0,57.0,6.0,1994-06-30,team_tournament_f5447df99360
team_a66f852274a4,Republic of Ireland,ireland,wc_1994,1994,13.0,54.0,53.0,1.0,1994-06-30,team_tournament_d2ec46edf400
team_152649df347e,United States,united states,wc_1994,1994,21.0,48.0,47.0,1.0,1994-06-30,team_tournament_95a3af33201c
team_0d9c575f4f02,Switzerland,switzerland,wc_1994,1994,10.0,56.0,54.0,2.0,1994-06-30,team_tournament_d29d2094bb11
team_e6e6854f6b71,Norway,norway,wc_1994,1994,7.0,58.0,56.0,2.0,1994-06-30,team_tournament_e9b328ec537a
team_4edfc924721a,Mexico,mexico,wc_1994,1994,14.0,53.0,51.0,2.0,1994-06-30,team_tournament_310d5b4ca478
team_73fa01094ea6,Belgium,belgium,wc_1994,1994,20.0,50.0,44.0,6.0,1994-06-30,team_tournament_9307077e5c70
team_217b6e5f0a09,Morocco,morocco,wc_1994,1994,28.0,43.0,44.0,-1.0,1994-06-30,team_tournament_4ff0bba71053
team_9621cbb93d1b,Cameroon,cameroon,wc_1994,1994,27.0,44.0,46.0,-2.0,1994-06-30,team_tournament_a66b8ad1754f
team_88e52ee42fd0,Sweden,sweden,wc_1994,1994,3.0,61.0,55.0,6.0,1994-06-30,team_tournament_e685f374eded
team_6123486432d2,Netherlands,netherlands,wc_1994,1994,3.0,61.0,59.0,2.0,1994-06-30,team_tournament_6fe623800b6e
team_5318efec44d1,Saudi Arabia,saudi arabia,wc_1994,1994,28.0,43.0,40.0,3.0,1994-06-30,team_tournament_36fabfd6e80e
team_6e5fa4d9c48c,Brazil,brazil,wc_1994,1994,1.0,65.0,59.0,6.0,1994-06-30,team_tournament_d572f49ce35b
team_1c625cc86f82,Russia,russia,wc_1994,1994,18.0,52.0,50.0,2.0,1994-06-30,team_tournament_25c932dac865
