match_id,tournament_year,match_date,home_team_id,away_team_id,text_available,text_count,combined_pre_match_text,sources,latest_text_time,min_hours_before_match
match_e9f8eb8da594,1958,1958-06-24,team_6e5fa4d9c48c,team_e165d4f2174b,0,0,,,,
match_0c653323394d,1958,1958-06-28,team_e165d4f2174b,team_79efb284d3e2,0,0,,,,
match_6c6467fa4a50,1958,1958-06-29,team_6e5fa4d9c48c,team_88e52ee42fd0,0,0,,,,
match_0cf77fa03b8c,1962,1962-05-30,team_6e5fa4d9c48c,team_4edfc924721a,0,0,,,,
match_250073af1a52,1962,1962-05-30,team_fd317045cbdc,team_0d9c575f4f02,0,0,,,,
match_3991b5065e35,1962,1962-05-30,team_2a52adc7b1da,team_db5f14430304,0,0,,,,
match_a2df6d5d3fcf,1962,1962-05-30,team_9142ac5b229c,team_25446782e2cc,0,0,,,,
match_792620aba8c0,1962,1962-05-31,team_3b4bbcb74728,team_f48861ca24e2,0,0,,,,
match_d62ac7c39597,1962,1962-05-31,team_79efb284d3e2,team_bab4ac375ada,0,0,,,,
match_e1a18c64f658,1962,1962-05-31,team_43c05d43f993,team_1747d4b2dd4b,0,0,,,,
match_f2bc7c1a1afd,1962,1962-05-31,team_e762c470514b,team_950ebd5e5210,0,0,,,,
match_36ee16c2c088,1962,1962-06-02,team_fd317045cbdc,team_bab4ac375ada,0,0,,,,
match_3bf8ebbc532e,1962,1962-06-02,team_6e5fa4d9c48c,team_43c05d43f993,0,0,,,,
match_dc1fd7313036,1962,1962-06-02,team_950ebd5e5210,team_9142ac5b229c,0,0,,,,
match_f6b6cbd5b0d0,1962,1962-06-02,team_f48861ca24e2,team_2a52adc7b1da,0,0,,,,
match_617dc8989b69,1962,1962-06-03,team_e762c470514b,team_25446782e2cc,0,0,,,,
match_8305e985d2d3,1962,1962-06-03,team_1747d4b2dd4b,team_4edfc924721a,0,0,,,,
match_bab982d2807f,1962,1962-06-03,team_3b4bbcb74728,team_db5f14430304,0,0,,,,
match_ea487ba007fc,1962,1962-06-03,team_79efb284d3e2,team_0d9c575f4f02,0,0,,,,
match_07828c643b90,1962,1962-06-06,team_e762c470514b,team_9142ac5b229c,0,0,,,,
match_7142d8cbe21f,1962,1962-06-06,team_3b4bbcb74728,team_2a52adc7b1da,0,0,,,,
match_d618168f50f6,1962,1962-06-06,team_79efb284d3e2,team_fd317045cbdc,0,0,,,,
match_e61a6c315de5,1962,1962-06-06,team_6e5fa4d9c48c,team_1747d4b2dd4b,0,0,,,,
match_2612349829ad,1962,1962-06-07,team_950ebd5e5210,team_25446782e2cc,0,0,,,,
match_a84ed49a2208,1962,1962-06-07,team_f48861ca24e2,team_db5f14430304,0,0,,,,
match_bebbe25c9108,1962,1962-06-07,team_bab4ac375ada,team_0d9c575f4f02,0,0,,,,
match_ef9edcb2c2eb,1962,1962-06-07,team_4edfc924721a,team_43c05d43f993,0,0,,,,
match_078bc3f540a7,1962,1962-06-10,team_fd317045cbdc,team_e762c470514b,0,0,,,,
match_289d2697f654,1962,1962-06-10,team_43c05d43f993,team_3b4bbcb74728,0,0,,,,
match_4cd9f5eed040,1962,1962-06-10,team_950ebd5e5210,team_79efb284d3e2,0,0,,,,
match_5a754e539e23,1962,1962-06-10,team_6e5fa4d9c48c,team_f48861ca24e2,0,0,,,,
match_1392abd50327,1962,1962-06-13,team_43c05d43f993,team_950ebd5e5210,0,0,,,,
match_2ddd155d3dbb,1962,1962-06-13,team_6e5fa4d9c48c,team_fd317045cbdc,0,0,,,,
match_02625915f2c3,1962,1962-06-16,team_fd317045cbdc,team_950ebd5e5210,0,0,,,,
match_617387bc9e85,1962,1962-06-17,team_6e5fa4d9c48c,team_43c05d43f993,0,0,,,,
match_c510146046e6,1966,1966-07-11,team_f48861ca24e2,team_9142ac5b229c,0,0,,,,
match_4e4e955e155d,1966,1966-07-12,team_6e5fa4d9c48c,team_db5f14430304,0,0,,,,
match_7cd2f9616f82,1966,1966-07-12,team_e762c470514b,team_a9f3e4aa0834,0,0,,,,
match_8eec92017b89,1966,1966-07-12,team_79efb284d3e2,team_0d9c575f4f02,0,0,,,,
match_43ad54462829,1966,1966-07-13,team_e165d4f2174b,team_4edfc924721a,0,0,,,,
match_5085d3a0aad6,1966,1966-07-13,team_bab4ac375ada,team_fd317045cbdc,0,0,,,,
match_788a09986696,1966,1966-07-13,team_ae0eea6eb6d6,team_3b4bbcb74728,0,0,,,,
match_e96193d8eac3,1966,1966-07-13,team_2a52adc7b1da,team_1747d4b2dd4b,0,0,,,,
match_821e27e71d42,1966,1966-07-15,team_9142ac5b229c,team_e165d4f2174b,0,0,,,,
match_d2f97a410793,1966,1966-07-15,team_1747d4b2dd4b,team_0d9c575f4f02,0,0,,,,
match_edfce5a3d744,1966,1966-07-15,team_a9f3e4aa0834,team_fd317045cbdc,0,0,,,,
match_f9d513872814,1966,1966-07-15,team_3b4bbcb74728,team_6e5fa4d9c48c,0,0,,,,
match_0bc69a44c2ac,1966,1966-07-16,team_e762c470514b,team_bab4ac375ada,0,0,,,,
match_0c02eac5ade8,1966,1966-07-16,team_f48861ca24e2,team_4edfc924721a,0,0,,,,
match_c6129259377c,1966,1966-07-16,team_ae0eea6eb6d6,team_db5f14430304,0,0,,,,
match_edaeb6c9ae1e,1966,1966-07-16,team_79efb284d3e2,team_2a52adc7b1da,0,0,,,,
match_40b2c56a22d1,1966,1966-07-19,team_a9f3e4aa0834,team_bab4ac375ada,0,0,,,,
match_a01ee368af86,1966,1966-07-19,team_2a52adc7b1da,team_0d9c575f4f02,0,0,,,,
