match_id,tournament_year,home_team_name,away_team_name,text_available,embedding_row
match_2152dc6722fc,2018,France,Argentina,1,420
match_c95fcb26c8f6,2018,Uruguay,Portugal,1,421
match_093b3fb1da43,2018,Croatia,Denmark,1,422
match_12447a7936fa,2018,Spain,Russia,0,423
match_c027002616be,2018,Brazil,Mexico,1,424
match_f326a4333407,2018,Belgium,Japan,1,425
match_16dfecb0aae9,2018,Colombia,England,1,426
match_a00f26836263,2018,Sweden,Switzerland,1,427
match_46d19cfbd60f,2018,Brazil,Belgium,1,428
match_67f243351ead,2018,Uruguay,France,1,429
match_0457052e18ac,2018,Russia,Croatia,1,430
match_2965008e4de4,2018,Sweden,England,1,431
match_22bdaedac849,2018,France,Belgium,1,432
match_cfc25d034528,2018,Croatia,England,1,433
match_48d908273829,2018,Belgium,England,1,434
match_f5d39f2a6e9a,2018,France,Croatia,1,435
match_eba59d5d01d0,2022,Qatar,Ecuador,1,436
match_0a8f5c4a4766,2022,United States,Wales,1,437
match_80a4ca985d2c,2022,Senegal,Netherlands,1,438
match_a64cba8917b3,2022,England,IR Iran,0,439
match_281c5a33aca4,2022,Denmark,Tunisia,0,440
match_2d2fb2173ae5,2022,Argentina,Saudi Arabia,1,441
match_76928775501c,2022,Mexico,Poland,0,442
match_f3510c7f2963,2022,France,Australia,1,443
match_07e3c71a8b3f,2022,Germany,Japan,1,444
match_3fab3e97aa68,2022,Morocco,Croatia,1,445
match_6012dfda6087,2022,Belgium,Canada,0,446
match_ceb0b4724a4c,2022,Spain,Costa Rica,1,447
match_19fd9f42dc66,2022,Switzerland,Cameroon,1,448
match_1e78cdccfaf3,2022,Uruguay,Korea Republic,0,449
match_8ddd14644e7d,2022,Portugal,Ghana,0,450
match_9e641e38ec9a,2022,Brazil,Serbia,0,451
match_29c08dea111e,2022,England,United States,1,452
match_46f196403397,2022,Wales,IR Iran,0,453
match_e6fe4bbca268,2022,Qatar,Senegal,1,454
match_e829a80223bc,2022,Netherlands,Ecuador,1,455
match_4d58b298d2af,2022,Argentina,Mexico,1,456
match_5ae2ed674a87,2022,Tunisia,Australia,1,457
match_5eafcf496399,2022,France,Denmark,0,458
match_e17641dd871d,2022,Poland,Saudi Arabia,1,459
match_1e1fca843881,2022,Croatia,Canada,1,460
match_277670442203,2022,Spain,Germany,1,461
match_3486e75b0605,2022,Belgium,Morocco,0,462
match_420ff494a43e,2022,Japan,Costa Rica,1,463
match_03a870591a86,2022,Korea Republic,Ghana,1,464
match_6f2b5423688b,2022,Cameroon,Serbia,1,465
match_7bee89ecf7bd,2022,Brazil,Switzerland,1,466
match_ac917798a039,2022,Portugal,Uruguay,1,467
match_b01bb9eba5aa,2022,IR Iran,United States,1,468
match_cbfd905e8889,2022,Ecuador,Senegal,1,469
match_cedcf59ba09f,2022,Netherlands,Qatar,0,470
match_f0f70bcdba1b,2022,Wales,England,1,471
match_16528982bbc1,2022,Australia,Denmark,1,472
match_2f53e659c715,2022,Tunisia,France,1,473
match_36bb02f73202,2022,Saudi Arabia,Mexico,1,474
match_827f605a660e,2022,Poland,Argentina,0,475
match_aae822025db9,2022,Costa Rica,Germany,1,476
match_b0d6f8d367f2,2022,Canada,Morocco,0,477
match_cfee9e4bb553,2022,Japan,Spain,0,478
match_ffa69018da51,2022,Croatia,Belgium,0,479
match_6eb13a82ec7c,2022,Korea Republic,Portugal,1,480
match_8891748ec8e3,2022,Ghana,Uruguay,1,481
match_d71f633f94b5,2022,Serbia,Switzerland,1,482
match_f47983c49068,2022,Cameroon,Brazil,1,483
match_a4a299f14514,2022,Argentina,Australia,1,484
match_a715603082f9,2022,Netherlands,United States,1,485
match_28f173583db1,2022,England,Senegal,1,486
match_9f7f3ca727b4,2022,France,Poland,1,487
match_cfd60b625822,2022,Japan,Croatia,1,488
match_db2c7f8ef3f9,2022,Brazil,Korea Republic,1,489
